stem,top_label,neutral_prob,max_emotion_label,max_emotion_prob,top_is_neutral,margin_ok,passes
After the longest lapse in history,Neutral,0.884221,Anticipation,0.053936,1,1,1
"Ah, the Catacombs. Not a single",Neutral,0.833458,Trust,0.041983,1,1,1
"Ahh... Yes, I remember. I remember",Anticipation,0.0,Anticipation,0.314223,0,0,0
All will come to pass. Battles,Neutral,0.704626,Joy,0.184408,1,1,1
"Amanda stepped onto the stage, the",Neutral,0.935873,Joy,0.020113,1,1,1
An animal stood directly in front,Neutral,0.965108,Trust,0.018063,1,1,1
And I had just finished reading,Neutral,0.871407,Anticipation,0.085485,1,1,1
"And now dear Listeners, a word",Neutral,0.918512,Trust,0.01971,1,1,1
Another bloodcurdling scream filled the air,Neutral,0.365311,Fear,0.217326,1,0,0
Another day. I wake up to,Neutral,0.812521,Joy,0.039484,1,1,1
Arda is stagnant. My master and,Neutral,0.966694,Trust,0.015956,1,1,1
Artificial Intelligence was the apex of,Neutral,0.794753,Trust,0.1375,1,1,1
As I limp towards my McDonalds,Neutral,0.954064,Trust,0.019197,1,1,1
As I peaked behind the curtain,Neutral,0.963297,Trust,0.008688,1,1,1
As I ran from the authorities,Neutral,0.781672,Fear,0.127191,1,1,1
As I ran over the gravel,Neutral,0.964463,Trust,0.017562,1,1,1
"As I'm walking down the staircase,",Neutral,0.954715,Anticipation,0.019557,1,1,1
As Mark stumbled his way to,Neutral,0.962495,Trust,0.017129,1,1,1
"As Matthew opened his eyes, the",Neutral,0.967977,Trust,0.012818,1,1,1
"As a rule, they are always",Neutral,0.852098,Trust,0.162338,1,1,1
"As a wedding planner, there are",Neutral,0.921068,Trust,0.045503,1,1,1
"As dares go, it was a",Neutral,0.899547,Trust,0.026421,1,1,1
As much as I told myself,Neutral,0.823914,Anticipation,0.061903,1,1,1
As our cruiser entered the old,Neutral,0.955239,Anticipation,0.018544,1,1,1
As the civet dropping coffee was,Neutral,0.964204,Trust,0.013401,1,1,1
As the shrapnel passed through his,Neutral,0.969529,Trust,0.010126,1,1,1
"As the sun went down, Jake",Neutral,0.966245,Trust,0.013555,1,1,1
As the urge was quickly banished,Neutral,0.784016,Trust,0.099327,1,1,1
Automobiles trickle past like the leaves,Neutral,0.955002,Trust,0.016817,1,1,1
Bane waited eagerly at the edge,Neutral,0.656091,Joy,0.235508,1,0,0
Be easy on me - this,Trust,0.0,Trust,0.724801,0,0,0
"Before I tell this story, you",Neutral,0.962833,Trust,0.014154,1,1,1
Ben did not know sign language.,Neutral,0.909001,Anger,0.092347,1,1,1
Bill slammed the empty shotglass upside,Neutral,0.96549,Anger,0.0172,1,1,1
Billy had never been any good,Anger,0.0,Anger,0.529097,0,0,0
Birds took to the sky as,Neutral,0.965722,Trust,0.011964,1,1,1
Bit late to this party but,Neutral,0.817211,Anticipation,0.03555,1,1,1
"Blackness engulfs my vision, and my",Neutral,0.720203,Fear,0.132255,1,1,1
Blink eyes. Blink eyes again. Turn,Neutral,0.963429,Anger,0.012056,1,1,1
Blood dripped off the hammer staining,Neutral,0.855341,Disgust,0.050084,1,1,1
"Blood drips red onto the floorboards,",Neutral,0.901051,Sadness,0.025706,1,1,1
Bob checked his Amazon account using,Neutral,0.967547,Trust,0.011993,1,1,1
Brad scraped the sides of the,Neutral,0.967862,Trust,0.012003,1,1,1
Brigadier Clairvoyant stalked through The Magnificent's,Neutral,0.949169,Trust,0.022844,1,1,1
Bruce should have realized something was,Anticipation,0.0,Anticipation,0.830966,0,0,0
By the time Orys reached the,Neutral,0.963802,Trust,0.013175,1,1,1
Ca n't do it. Nope. She's,Anger,0.0,Anger,0.637805,0,0,0
Cannibalism exists among different cultures its,Neutral,0.895324,Trust,0.072001,1,1,1
Captain Flint ran a thumb over,Neutral,0.96725,Anger,0.012856,1,1,1
Captain Rick slammed on the brakes,Neutral,0.952021,Trust,0.018334,1,1,1
Cathy's was on the Northside of,Neutral,0.96706,Trust,0.022833,1,1,1
Cera Olliath woke up from her,Neutral,0.965993,Trust,0.016059,1,1,1
Charon had spent almost exactly half,Neutral,0.965023,Trust,0.017805,1,1,1
Chirp hated winter. Most people did,Neutral,0.639504,Anger,0.130249,1,1,1
Christopher was woken by the stinging,Neutral,0.959274,Trust,0.012092,1,1,1
Church of Scientology remembrance pamphlet When,Neutral,0.92905,Surprise,0.024176,1,1,1
Clara gives me a warm embrace.,Joy,0.0,Joy,0.564394,0,0,0
"Clusters of kids huddled together, whispering",Neutral,0.965161,Trust,0.016676,1,1,1
Congress voted unanimously when the bill,Neutral,0.695447,Trust,0.377549,1,0,0
"Conscience sprouted from instinct, man grew",Neutral,0.750265,Trust,0.193126,1,1,1
Crawled up on ladders to send,Neutral,0.963117,Anger,0.016195,1,1,1
"Dancing on the grass, the mottled",Neutral,0.715516,Joy,0.187252,1,1,1
Darkness is the first thing I,Neutral,0.935308,Trust,0.048264,1,1,1
Dave sighed. The phone was ringing,Neutral,0.935683,Anger,0.013007,1,1,1
Dave was screaming. But every healthy,Neutral,0.947038,Trust,0.013097,1,1,1
"Dave, with his eyes pointed as",Neutral,0.961726,Trust,0.017282,1,1,1
David gently rapped the open door,Neutral,0.965549,Trust,0.015389,1,1,1
Death sits across the table from,Neutral,0.965258,Anger,0.01084,1,1,1
Deep under the underground levels of,Neutral,0.96392,Trust,0.014921,1,1,1
Demitri slicked his oily hair back,Neutral,0.961918,Trust,0.01639,1,1,1
Derek leaned slightly on the wooden,Neutral,0.961098,Trust,0.028676,1,1,1
Desmond was not long for this,Neutral,0.91331,Anger,0.057053,1,1,1
Detective Palmiro always got assigned to,Neutral,0.954409,Trust,0.044411,1,1,1
Did n't start this at the,Neutral,0.772515,Anger,0.329134,1,0,0
Dinner was always my favorite meal,Joy,0.0,Joy,0.533527,0,0,0
Dirk of the McKinley Clan had,Neutral,0.955935,Trust,0.022306,1,1,1
Do you know what a tumor,Neutral,0.571732,Surprise,0.544662,1,0,0
Doctor Doug Stevenson took a sip,Neutral,0.967457,Trust,0.011906,1,1,1
Donnie took a long sip of,Neutral,0.961694,Trust,0.016911,1,1,1
Dr. Sill peered into the holding,Neutral,0.967568,Trust,0.011173,1,1,1
"Dragons flew, the sun bled over",Neutral,0.957674,Trust,0.015418,1,1,1
Dreams are odd things. I realize,Anticipation,0.0,Anticipation,0.867421,0,0,0
Drizzles of icy rain pattered onto,Neutral,0.970096,Anger,0.016293,1,1,1
"Ellie, my roommate, stopped when she",Neutral,0.951332,Sadness,0.024084,1,1,1
Encyclopedia Man had always wanted to,Neutral,0.799474,Anticipation,0.20733,1,0,0
Even though we resisted the squashing,Neutral,0.859674,Anger,0.055013,1,1,1
Even while the dying leaves swirled,Neutral,0.950175,Trust,0.015642,1,1,1
Ever Corp's headquarters looked like a,Neutral,0.911812,Trust,0.031659,1,1,1
Ever made a wish in a,Anticipation,0.0,Anticipation,0.54758,0,0,0
Every morning began like this. Carly,Neutral,0.915388,Trust,0.061652,1,1,1
Everyone has there own idea about,Neutral,0.933161,Trust,0.056103,1,1,1
"Everyone, is born with a spirit",Neutral,0.749409,Trust,0.227519,1,0,0
Everything stopped the day my daughter,Neutral,0.650684,Sadness,0.187782,1,1,1
Explosions and maniacal laughter - terrifying,Fear,0.0,Fear,0.768382,0,0,0
"Fast, agile beasts, their bodies seemed",Neutral,0.591532,Trust,0.577697,1,0,0
Faster than any man who has,Neutral,0.536026,Trust,0.20254,1,0,0
Finally a successful date leads to,Joy,0.0,Joy,0.416582,0,0,0
Finally. I have accomplished what my,Joy,0.0,Joy,0.289577,0,0,0
Finding good help around here is,Neutral,0.674877,Trust,0.128747,1,1,1
First thing to pop in my,Neutral,0.966452,Trust,0.010687,1,1,1
First time writing anything like this,Neutral,0.432325,Surprise,0.1813,1,1,1
Five shots. Five shots rang out,Neutral,0.968663,Trust,0.010483,1,1,1
Footsteps beat at the carpet like,Neutral,0.937579,Anger,0.03385,1,1,1
For a long time I doubted,Sadness,0.0,Sadness,0.591367,0,0,0
"For a long time, it was",Neutral,0.730454,Anticipation,0.174282,1,1,1
For a world with everything and,Neutral,0.924685,Anger,0.021704,1,1,1
"For most, it happens in an",Neutral,0.884468,Trust,0.098138,1,1,1
For the first time this week,Neutral,0.782123,Anticipation,0.068294,1,1,1
For years we had been warned.,Neutral,0.267497,Fear,0.092274,1,1,1
Forty and suffering from ED. Here,Sadness,0.0,Sadness,0.724174,0,0,0
Frank has seen it coming in,Neutral,0.965907,Trust,0.016956,1,1,1
Friday. Night. The tube. It is,Neutral,0.717414,Joy,0.150292,1,1,1
From the instant my neural network,Neutral,0.96725,Trust,0.012121,1,1,1
"Funny thing about apocalypses, specifically the",Joy,0.0,Joy,0.915808,0,0,0
Gargus Glint loved his job. The,Joy,0.0,Joy,0.84235,0,0,0
Gary's father always made sure to,Neutral,0.920159,Trust,0.061365,1,1,1
General Bolden made his way to,Neutral,0.969568,Trust,0.013311,1,1,1
Geneva threw her bag onto the,Neutral,0.968603,Trust,0.012185,1,1,1
Gill held the great honor of,Trust,0.0,Trust,0.69762,0,0,0
Giving in felt more like giving,Neutral,0.749057,Trust,0.176712,1,1,1
Glass bottles glittered and glinted in,Neutral,0.862254,Trust,0.033107,1,1,1
"God cleared his throat loudly, trying",Neutral,0.953938,Trust,0.01692,1,1,1
"God is n't the almighty, not",Neutral,0.576787,Anger,0.537393,1,0,0
Greg is only 5 years old.,Neutral,0.95793,Trust,0.021777,1,1,1
Grimlock sat at the table across,Neutral,0.968616,Trust,0.014477,1,1,1
"Grok charged down the sideline, grunting",Neutral,0.952215,Trust,0.020961,1,1,1
Gwen was brushing her teeth the,Neutral,0.969445,Trust,0.010482,1,1,1
"HOW SHOULD A MODERN, INDEPENDENT WOMAN",Surprise,0.0,Surprise,0.521959,0,0,0
Halfway through the four hundred and,Neutral,0.962562,Anticipation,0.010692,1,1,1
"Haru-kun's head dropped to the ground,",Neutral,0.957218,Sadness,0.010486,1,1,1
He always struggled with autopsies. It,Neutral,0.878995,Sadness,0.117369,1,1,1
He arrived in a black Pontiac,Neutral,0.958946,Trust,0.020867,1,1,1
He chambered another round. The Obersoldat,Neutral,0.968915,Trust,0.012267,1,1,1
He cleared his throat not because,Neutral,0.940746,Anger,0.03683,1,1,1
He could remember the scent of,Neutral,0.953082,Trust,0.037391,1,1,1
He did n't know who he,Neutral,0.925599,Anger,0.053245,1,1,1
He did this work blindly. He,Neutral,0.680092,Anger,0.202075,1,0,0
"He entered the tech repair store,",Neutral,0.965562,Trust,0.014172,1,1,1
He flicked the switch Light dramatically,Neutral,0.953966,Trust,0.012393,1,1,1
He had n't always been addicted,Neutral,0.819265,Anger,0.157649,1,1,1
He had n't asked to be,Neutral,0.843454,Anger,0.218499,1,0,0
He had not had a dream,Neutral,0.946562,Anger,0.025988,1,1,1
He had to know why I,Neutral,0.950275,Surprise,0.0128,1,1,1
He injected the sleeping two year,Neutral,0.967182,Trust,0.014987,1,1,1
He knows I'm innocent... I suppose,Neutral,0.641392,Trust,0.405288,1,0,0
"He looked at the strangely shaped,",Neutral,0.913903,Anticipation,0.016977,1,1,1
He ran his fingertips across the,Neutral,0.968475,Trust,0.01643,1,1,1
"He rose from the beach, and",Neutral,0.961222,Trust,0.021024,1,1,1
"He sat back in the chair,",Neutral,0.963595,Trust,0.013811,1,1,1
He sat in a stark room,Neutral,0.964385,Anger,0.012243,1,1,1
He sat in his room staring,Neutral,0.962851,Anger,0.010271,1,1,1
He sat in quiet contemplation. The,Neutral,0.954835,Trust,0.018909,1,1,1
"He sat on the sidewalk, watching",Neutral,0.966617,Trust,0.012002,1,1,1
"He sat quietly in the cabin,",Neutral,0.947216,Trust,0.028181,1,1,1
He sits alone on stage. His,Neutral,0.936007,Sadness,0.029574,1,1,1
"He sits with his legs crossed,",Neutral,0.966945,Trust,0.015789,1,1,1
He stared at the photo... At,Neutral,0.957782,Trust,0.009392,1,1,1
He stepped towards the metal railing,Neutral,0.959609,Trust,0.02363,1,1,1
He stood in front of the,Neutral,0.96884,Trust,0.015369,1,1,1
"He stood, Timeporter attached to his",Neutral,0.970831,Trust,0.013006,1,1,1
He took another drag of his,Neutral,0.967472,Trust,0.010118,1,1,1
He unclipped the cape from around,Neutral,0.968053,Trust,0.010648,1,1,1
He waked up with a cacophony,Neutral,0.947188,Trust,0.015983,1,1,1
He was an adventurer for most,Neutral,0.504284,Trust,0.465803,1,0,0
He was glad it was almost,Joy,0.0,Joy,0.738839,0,0,0
He was late. This was unusual.,Neutral,0.721681,Surprise,0.19006,1,1,1
"He was rather well-preserved, his body",Trust,0.0,Trust,0.650506,0,0,0
He was sitting across from the,Neutral,0.967204,Trust,0.019557,1,1,1
"He was so close to me,",Neutral,0.392558,Trust,0.158146,1,1,1
He was standing there just like,Neutral,0.894922,Trust,0.091363,1,1,1
He woke up with that strange,Neutral,0.814938,Surprise,0.141541,1,1,1
"He would be 24, today, and",Neutral,0.96663,Trust,0.015875,1,1,1
Her hands started to shake. She,Neutral,0.941392,Trust,0.013834,1,1,1
"Hi, Billy Mays here, and have",Neutral,0.964133,Trust,0.012291,1,1,1
Hiraeth kicks off his muddy boots,Neutral,0.967016,Trust,0.013466,1,1,1
"His eyes had lost their gleam,",Neutral,0.44078,Sadness,0.390116,1,0,0
His eyes shone with terror as,Fear,0.0,Fear,0.872199,0,0,0
His slow manner dictated confidence and,Trust,0.0,Trust,0.660709,0,0,0
His whole life who knew something,Neutral,0.927007,Anticipation,0.040959,1,1,1
Hodar the Half-Orc watched on with,Neutral,0.960729,Trust,0.020209,1,1,1
How long must a dream occur,Surprise,0.0,Surprise,0.595727,0,0,0
How to get your crush to,Surprise,0.0,Surprise,0.666496,0,0,0
"Human diversity so so huge, nothing",Neutral,0.592483,Anger,0.055724,1,1,1
Humanity had been spread thin for,Neutral,0.940771,Trust,0.029044,1,1,1
Humans were Jews. When planets were,Neutral,0.923114,Anticipation,0.039497,1,1,1
Hundreds of preservation units lined the,Neutral,0.961834,Trust,0.037467,1,1,1
Huo Pao was old and scrawny.,Neutral,0.801186,Sadness,0.139371,1,1,1
I am a professional liar. People,Anger,0.0,Anger,0.731994,0,0,0
I am from a place in,Neutral,0.869733,Trust,0.104398,1,1,1
I am not alone. I am,Neutral,0.815414,Trust,0.066923,1,1,1
I am standing at the center,Neutral,0.958854,Trust,0.027649,1,1,1
I am the keeper of the,Neutral,0.921896,Trust,0.070295,1,1,1
I am torn from my thoughts,Neutral,0.759956,Sadness,0.34293,1,0,0
"I am, myself, unstuck into the",Neutral,0.95671,Trust,0.019998,1,1,1
I awake to the sound of,Neutral,0.833425,Anticipation,0.043081,1,1,1
I awoke on the boat as,Neutral,0.804437,Anticipation,0.119519,1,1,1
I awoke sharply to the sound,Neutral,0.612225,Anticipation,0.148916,1,1,1
I bit back my tears as,Sadness,0.0,Sadness,0.592964,0,0,0
"I blinked, and the creature in",Neutral,0.92165,Anticipation,0.029493,1,1,1
I ca n't see why I,Neutral,0.612794,Anger,0.31031,1,0,0
I came to a stop as,Neutral,0.852648,Anticipation,0.051897,1,1,1
I can try to lay in,Neutral,0.892722,Trust,0.088331,1,1,1
"I could not believe the newspaper,",Surprise,0.0,Surprise,0.760761,0,0,0
I could say it's been a,Neutral,0.772003,Surprise,0.086095,1,1,1
I cursed my fate. I cursed,Anger,0.0,Anger,0.543315,0,0,0
I dash out the front door.,Neutral,0.794002,Anger,0.024054,1,1,1
"I did everything to save Martha,",Trust,0.0,Trust,0.575737,0,0,0
I did n't find what I,Neutral,0.742033,Anger,0.173011,1,1,1
I do n't know why I,Surprise,0.0,Surprise,0.928855,0,0,0
I dodged the sword of my,Neutral,0.865305,Trust,0.058873,1,1,1
"I dropped the marker in shock,",Surprise,0.0,Surprise,0.758308,0,0,0
I feel an intense pain rip,Sadness,0.0,Sadness,0.888482,0,0,0
I giggle at the expression on,Joy,0.0,Joy,0.728041,0,0,0
"I glance out the window, seeing",Neutral,0.883433,Anticipation,0.024079,1,1,1
I grinned mischievously as I leaned,Joy,0.0,Joy,0.659105,0,0,0
"I had a mission, and a",Neutral,0.877913,Trust,0.021067,1,1,1
"I had always thought, well assumed,",Neutral,0.502045,Anticipation,0.274948,1,0,0
I had left it dormant for,Neutral,0.953942,Trust,0.021412,1,1,1
"I had not seen her go,",Neutral,0.921958,Anger,0.047392,1,1,1
I have a secret to share,Neutral,0.856654,Trust,0.035852,1,1,1
I have been on the run,Neutral,0.920131,Trust,0.054742,1,1,1
I hold back the tears that,Neutral,0.766583,Sadness,0.212256,1,0,0
I just had to be playing,Neutral,0.921151,Trust,0.047795,1,1,1
I keep the figure in my,Neutral,0.966227,Trust,0.019949,1,1,1
"I kicked in the door, turned",Neutral,0.749695,Anger,0.144036,1,1,1
"I kneeled, naked, on the shroomy",Neutral,0.928517,Disgust,0.016445,1,1,1
I knew what it meant. Hours,Neutral,0.483535,Anticipation,0.302361,1,0,0
I live in New York City.,Neutral,0.866198,Trust,0.152825,1,1,1
I look up from my laptop,Neutral,0.948643,Trust,0.013645,1,1,1
I looked across at dad at,Neutral,0.947959,Anticipation,0.01585,1,1,1
I looked at my client. He,Neutral,0.918959,Anticipation,0.035787,1,1,1
I looked up from my desk,Neutral,0.920488,Anticipation,0.022932,1,1,1
I never pretended to be the,Neutral,0.77508,Anger,0.272039,1,0,0
I never really got on with,Neutral,0.592134,Anger,0.434829,1,0,0
I never really understood how it,Surprise,0.0,Surprise,0.926677,0,0,0
I never thought working with CPS,Neutral,0.548527,Anger,0.537404,1,0,0
I only know a few things.,Neutral,0.932265,Trust,0.04292,1,1,1
I opened the door to Samantha,Neutral,0.967257,Trust,0.01266,1,1,1
I play the haunting melody of,Neutral,0.407131,Joy,0.129869,1,1,1
I puked. Turns out the human,Disgust,0.0,Disgust,0.368857,0,0,0
I put my hand to my,Neutral,0.95885,Trust,0.012558,1,1,1
I questioned my choice on that,Surprise,0.0,Surprise,0.587502,0,0,0
I rebuttoned my jeans up as,Neutral,0.88795,Trust,0.046578,1,1,1
I recall the day our kingdom,Neutral,0.753275,Anticipation,0.282245,1,0,0
I remember when Dr. Hadley first,Neutral,0.729375,Anticipation,0.325294,1,0,0
"I remember when we first met,",Anticipation,0.0,Anticipation,0.610418,0,0,0
I roll my shoulders back as,Neutral,0.961804,Trust,0.024712,1,1,1
I rolled a joint and light,Neutral,0.966393,Trust,0.013879,1,1,1
"I rushed into the emergency room,",Neutral,0.549012,Fear,0.137631,1,1,1
I said I'd never use it,Neutral,0.777806,Anger,0.266794,1,0,0
I sat in my soft leather,Neutral,0.609354,Trust,0.122937,1,1,1
I sat on the edge of,Neutral,0.962103,Trust,0.024185,1,1,1
I saw the car as it,Neutral,0.916521,Anticipation,0.054283,1,1,1
I set foot into a room,Neutral,0.946961,Trust,0.014972,1,1,1
I simply could not do it.,Anger,0.0,Anger,0.760646,0,0,0
I sit upon my Iron Throne.,Neutral,0.879352,Trust,0.056186,1,1,1
I sleep in hotels now. If,Neutral,0.869872,Trust,0.091454,1,1,1
I slowly regain consciousness to a,Neutral,0.716767,Anticipation,0.192663,1,1,1
I slowly stroll towards each bed,Neutral,0.916485,Trust,0.039548,1,1,1
I slowly walk out of the,Neutral,0.870742,Anticipation,0.050437,1,1,1
I sniffed. The scent of rosemary,Neutral,0.643867,Trust,0.064184,1,1,1
I stand at a crossroads between,Neutral,0.895384,Anticipation,0.03078,1,1,1
I stare at my grease covered,Neutral,0.799961,Anger,0.031284,1,1,1
I stare at the retreating figure,Neutral,0.865929,Fear,0.01683,1,1,1
"I stare, stopping my car on",Neutral,0.889964,Anger,0.017633,1,1,1
I stared into the barrel of,Neutral,0.89851,Fear,0.012682,1,1,1
I started on the Clubhouse show,Neutral,0.889854,Trust,0.098553,1,1,1
I started suspecting something was off,Neutral,0.396852,Anticipation,0.310004,1,0,0
"I stepped aside, feeling the breeze",Neutral,0.935006,Trust,0.031051,1,1,1
I still remember the last night,Neutral,0.466371,Anticipation,0.353245,1,0,0
I stood at the front of,Neutral,0.946665,Trust,0.044182,1,1,1
I stood on the edge of,Neutral,0.962463,Trust,0.021462,1,1,1
"I stood silently, shifting my weight",Neutral,0.937627,Trust,0.041443,1,1,1
I tapped my keys mindlessly coding.,Neutral,0.954599,Trust,0.018221,1,1,1
I think it all really got,Neutral,0.63351,Anticipation,0.30317,1,0,0
I took copious notes on the,Neutral,0.952385,Trust,0.024158,1,1,1
I wait for the elevator to,Neutral,0.941757,Trust,0.015888,1,1,1
I wake up and sit on,Neutral,0.957549,Trust,0.020125,1,1,1
I walk quickly toward the back,Neutral,0.845407,Trust,0.12252,1,1,1
I walked down the hall. My,Neutral,0.898889,Anticipation,0.036403,1,1,1
I was born deaf. Pretty hard,Sadness,0.0,Sadness,0.746417,0,0,0
"I was desperate, absolutely desperate to",Anticipation,0.0,Anticipation,0.469762,0,0,0
"I was feckin' sloshed, mate. First",Neutral,0.80561,Anger,0.117076,1,1,1
"I was finally here, at the",Neutral,0.451713,Joy,0.1562,1,1,1
I was four years old when,Neutral,0.920524,Anticipation,0.062784,1,1,1
I was hiking on safari in,Neutral,0.898898,Trust,0.038835,1,1,1
I was loitering next to the,Neutral,0.966416,Trust,0.020066,1,1,1
I was n't really the type,Anger,0.0,Anger,0.762497,0,0,0
I was nine years old for,Neutral,0.922976,Anticipation,0.061011,1,1,1
I was so close to getting,Neutral,0.626403,Anticipation,0.074748,1,1,1
I was staring at the screen,Neutral,0.931314,Anger,0.008713,1,1,1
I wear her sister's face. I,Neutral,0.95498,Trust,0.033309,1,1,1
"I went to school in Florida,",Neutral,0.921243,Trust,0.061936,1,1,1
"I woke up groggy, and unable",Sadness,0.0,Sadness,0.545584,0,0,0
I woke up with a blinding,Neutral,0.333307,Anticipation,0.315274,1,0,0
"I woke up, staring at the",Neutral,0.701335,Fear,0.089834,1,1,1
I'd served my time. My Emperor.,Trust,0.0,Trust,0.47848,0,0,0
I'm a deep-sea welder. The main,Neutral,0.896312,Trust,0.074468,1,1,1
"I'm just a normal guy. Really,",Trust,0.0,Trust,0.551112,0,0,0
"I'm not conflicted. Every thought, neuron,",Neutral,0.551239,Trust,0.301965,1,0,0
"I'm waiting for the bus, and",Neutral,0.892162,Trust,0.020402,1,1,1
I've always wanted to write an,Anticipation,0.0,Anticipation,0.771678,0,0,0
I've known my wife since we,Neutral,0.659612,Trust,0.206753,1,0,0
I've never seen this bridge so,Neutral,0.679671,Anticipation,0.108983,1,1,1
If Michael had been asked what,Neutral,0.905637,Surprise,0.043114,1,1,1
If there was anything I missed,Neutral,0.629974,Sadness,0.13586,1,1,1
If you have dreamed about living,Neutral,0.951227,Surprise,0.010994,1,1,1
If you say goodbye enough times,Neutral,0.949434,Trust,0.014146,1,1,1
If you've been around as long,Neutral,0.946096,Trust,0.014659,1,1,1
"In a world played by silence,",Neutral,0.929583,Anticipation,0.021144,1,1,1
"In all honesty, I did n't",Neutral,0.637837,Trust,0.351107,1,0,0
"In my backyard, I found a",Neutral,0.87126,Anticipation,0.03744,1,1,1
In no way was he broadsided,Neutral,0.91976,Anger,0.080535,1,1,1
In the beginning there was the,Neutral,0.919258,Anticipation,0.045792,1,1,1
In the distant land of South,Neutral,0.967437,Trust,0.013148,1,1,1
In the early days of the,Neutral,0.928099,Anticipation,0.039298,1,1,1
In the light of the moon,Neutral,0.960968,Trust,0.012502,1,1,1
"In the middle of the night,",Neutral,0.960401,Trust,0.010458,1,1,1
"In the mornings, I wake up",Neutral,0.952218,Trust,0.023192,1,1,1
In the years since Death and,Neutral,0.943885,Anticipation,0.04321,1,1,1
"In time, their goal was nothing",Neutral,0.853882,Anger,0.05609,1,1,1
"In utter shock and disbelief, Harry's",Surprise,0.0,Surprise,0.856027,0,0,0
Instinct. Instinct had always been his,Neutral,0.913097,Trust,0.106416,1,1,1
Is n't it ironic that man,Neutral,0.517915,Surprise,0.382516,1,0,0
Is there a place in this,Surprise,0.0,Surprise,0.625898,0,0,0
Isaiah had chosen the School of,Neutral,0.956078,Trust,0.036998,1,1,1
It all started as I along,Neutral,0.821892,Anticipation,0.117408,1,1,1
It all started on Halloween. I,Neutral,0.442758,Anticipation,0.133069,1,1,1
It appeared on his cell phone,Neutral,0.968774,Trust,0.015206,1,1,1
It began with a picture of,Neutral,0.94917,Trust,0.024231,1,1,1
It began with a prompt. A,Neutral,0.938647,Trust,0.042074,1,1,1
It begins with a single cube,Neutral,0.966013,Trust,0.016427,1,1,1
It came as a surprise to,Surprise,0.0,Surprise,0.836865,0,0,0
It came back to us. I,Neutral,0.966371,Trust,0.014336,1,1,1
It had been going on for,Neutral,0.823939,Trust,0.131803,1,1,1
"It had been just another night,",Neutral,0.92261,Anticipation,0.060278,1,1,1
It happened exactly as described in,Trust,0.0,Trust,0.709176,0,0,0
It has been a few cycles,Neutral,0.939089,Anticipation,0.02914,1,1,1
It has been fifty years since,Neutral,0.753842,Anticipation,0.164147,1,1,1
It is intuitively obvious even to,Trust,0.0,Trust,0.502451,0,0,0
