Target,Detected,Generated_Text
Joy,Trust,"This is the first part of a series. I will continue in separate posts, and may even do some minor updating. 
 
 `` It's amazing how much you love it when people see your devotion to others!'' -Justin Bieber ( The song was from Justin Bieber's album ) 
 
 `` Hey,'' -Me, as my best friend. She is cute, but shy"
Joy,Neutral,"I woke up in a world where my name was not Tom. My last memory of being alive is of me waking up and staring at the ceiling, completely naked, in an alley somewhere. 
 
 Looking around, I see that all of my clothes are gone. They were all packed into boxes before I could even remember how to put them on. All that remains is what little clothing I"
Joy,Neutral,"It was time for another shot. I pulled my sidearm to the left, aiming low so it ’ d give me a clear line of sight. The crowd parted as I came into view and I fired three shots through the air over their heads into the crowd. My first bullet ricocheted off one wall and rang against another, but that didn ’ t stop me from continuing on"
Trust,Neutral,"`` Have you seen Doctor Thompson?'' 
 
 `` Yes, I've seen him. He is in the basement of his house.'' 
 
 Dr. Thompson walked through a series of rooms as he pointed to each one, `` this room, that room, they all have to do with the cure for aging.'' 
 
 After a few minutes of walking he came out"
Trust,Sadness,"`` I'm sorry sir, but we do n't have any time today. It's urgent.'' 
 
 I looked up from my paperwork at the man in front of me and gave him a salute before returning to my seat. He nodded sagely as he made his way through the crowd towards the elevator, ignoring my gaze and continuing down. The wait for this day had been stressful enough"
Trust,Anticipation,"We would go on this journey together. The years, they flew by so quickly, I could barely keep up with it all... but after a while we got used to each other's pace. We were always telling stories about the adventures we had and the people who helped along our way. 
 And then one day... One day when my eyes were closed, I woke up in a world where"
Trust,Neutral,"He was a big man. The way he stood, the weight on his massive frame that jutted out from behind him when walking was intimidating even for someone as strong as him. It had taken him several tries to get used to wearing heavy cloths in public so that it did n't weigh down his already-muscled arms and legs but it paid off now. 
 
 ``"
Trust,Anger,"I've always been a pretty average guy. Nothing special, but nothing terrible either. What caught me was one night in the middle of class, when all hell broke loose. It started with the usual banter between my friends and my teachers. At first it just annoyed me that we were having such an interesting time together. We laughed at each other's jokes and how stupid everyone thought our brain structure was"
Trust,Neutral,"`` What the hell man?'' I said to myself as my mind raced. There was no way he had known that we were in there, or if he did they must have left us alone at some point. 
 
 He walked into the bathroom and saw his reflection on the mirror as his hand went for the water bottle on the vanity mirror. That's when it happened. As soon"
Trust,Sadness,"`` Where the hell have you been?'' I ask. He looks at me, his brow furrowed and a look of confusion on his face. 
 
 ``... Oh, right,'' he says, smiling back at me as if it was something normal. `` You know I lost my job last week.'' 
 
 `` Yeah, that's embarrassing.'' He sighs heavily"
Trust,Neutral,"`` You're in charge of the world, honey. No one else will.'' 
 I knew I was right. The man in front of me looked nervous. He clutched his clipboard with both hands and glanced at me as if he expected an order. 
 
 `` What exactly is your expertise?'' 
 `` Protection of the Earth from alien threats.'' He paused a moment,"
Trust,Trust,"`` You're so damn beautiful!'' 
 
 Her hand snakes around my chest, resting on the crook of my neck. The tips of her fingers dig into my sensitive skin as she whispers in my ear. I shiver instinctively and turn my head away from hers to look at her. She has a face like chocolate but melts when touched, more akin to ginger than dark brown –"
Trust,Trust,"**Awesome, I like the prompt. It's a little wordy though so it'll be okay if you can shorten it to make it easier on me! ** 
 
 `` Oh! by the way, there was some chaos at your local drug store last week.'' 
 
 `` Yeah?'' 
 
 `` Well, they were selling some super strong pot and heroin"
Trust,Anger,"It was n't really fair. I mean, everyone knew that the first few months were going to be rough. Even my mother got a bit anxious about how it would go down. 
 
 The truth is I do n't mind at all. Sure, she had been worried before and now I get annoyed when she talks about it. But hey, we're not as bad off as"
Trust,Neutral,"I was walking down the street, my mind wandering from girl to girl. As I passed by a young couple it struck me; they were talking about something so meaningful that I felt as if we were meant to be together. 
 `` Hey babe!'' I noticed the guy she was with was flirting a little too much with her. He'd moved on from her and now just looked back"
Trust,Surprise,"I do n't know if you were ever meant to die. 
 
 You may think this a joke, or perhaps even an attempt at humor - but in all honesty it's the truth. I was never meant to be a man like you. So many years of conditioning, and training... you should have known that when your time came around, nobody would survive it. Yet here you"
Trust,Anticipation,"When you're young and impressionable, you believe that everything is about your feelings. It's always been like this with me; I was a little dim until I went through puberty and saw what the world looked like. Looking back now it makes more sense but back then it did n't. 
 
 The first time I met my soul mate was in middle school when we had our fateful"
Trust,Trust,"In all honesty, it's not that surprising. I can tell you from experience that when you're first introduced to someone new, your brain is a bit unsure if they'll be good friends or just plain weird freaks ( some of my best and worst friends are ex-witches ). But after the introductions, people naturally start to get along quite well. 
 
 It's also"
Trust,Neutral,"It was a rare sight to see the man in black walking down the street. A normal, middle-aged white man with jet black hair and goatee beard walked by holding a bag of groceries. He held the grocery just out of reach from his arm as if he were trying desperately to snatch it away. 
 
 I sighed at the blatant disregard for common courtesy. I was about"
Trust,Joy,"`` Come on man. This is a joke.'' 
 
 `` What the hell?'' I said. I looked down at my phone and saw it had n't fallen off the table. `` Hey, can you play something for me? Something that will help me remember? Do n't worry about this anymore'' I told the man in front of me. The guy was shaking his head"
Trust,Surprise,"I ca n't remember how I got here. 
 
 The world is strange to me. A lot of things *are* strange, but what are they? I do n't have a language; instead, everything feels foreign and alien to me at the same time. Language has no power over my body - it's not like there's an innate understanding for words, just a way"
Trust,Neutral,"I'm not a particularly religious man, but even so when the siren sounds and all of the lights are out there's just something about it that hits me. A bit like being at a funeral. You never know who you're going to see or what they ’ ll have for dinner tonight, but whatever. There ’ s no one else around. Sure, everyone is staring into ob"
Trust,Surprise,"`` Honey, I have a surprise for you!'' 
 
 Her small brown eyes sparkle with anticipation as she slowly opens her legs to me. She does n't look at my face when she says it, but rather at the plate of food waiting on the table. The plate contains freshly made lasagna and chicken parmesan, accompanied by a side salad of romaine lettuce,"
Fear,Anticipation,"My sister is going to be a nun. We were told this by the head of our family when we were little. They told us that if we did n't do what they said, then god would forsake us and our whole family in hell. 
 
 I wish people knew how scary it really was. When you go into a home where they keep all their possessions for eternity,"
Fear,Trust,"`` This is going to be an interesting one. I'm not really sure if anyone can take it,'' he said solemnly as his finger twitched in the air, `` but I do know that I am a monster.'' 
 
 The doctor smiled at him and began stroking his beard and mustache. 
 
 `` Well, now you have nothing left to loose.''"
Fear,Neutral,"I do n't remember my name. My body is numb, but the world around me seems to be moving. It's all so... white. 
 
 I am laying on a bed in an unnamed hospital room. The doctor and nurse are looking at me with sympathetic expressions as they speak about the procedure that will remove this one of the last remaining traces of life from my body - and"
Fear,Anger,"`` What the fuck man?'' I screamed at my best friend, who was already running down a side street. He turned around and shouted something unintelligible at me that sent chills up my spine. The adrenaline had kicked in and suddenly it felt like I could tackle any animal or person I saw. Running is the only way to escape this hell hole we call home."
Fear,Neutral,"My name is Jacob and I am a 14 year old boy. 
 
 The government keeps me in this cage because they hate my guts. They tried to kill me, but when you're chained up with food all day long... you do n't think it'll happen the way it did, right? I thought so too until last night, that's when I saw it. All of"
Fear,Neutral,"`` So, what's your problem, sir?'' 
 
 `` Nothing... nothing at all. Just give me the money you stole from my safe and I'll let you go.'' 
 
 The man shook his head as he handed over a hundred and fifty-five silver dollars to the guard. He then walked out of the bank with a pistol in each hand, his face"
Fear,Neutral,"I was walking towards the city, when all of a sudden... 
 
 *Paparazzi! * 
 
 The paparazzi surrounded me. They were following my every move. 
 
 `` Is it okay to flash your boobs?'' asked an attractive girl in her 20s with dark hair and bright red lips. Her breasts flashed onscreen for"
Fear,Neutral,"It was a dark, rainy night when I first met her. A friend of mine had been drinking with some girls at a party and they invited me to join them later that evening. My heart skipped a beat, but as soon as the invitations started flying around I jumped on my bike and headed over there. 
 
 They were all drunk - so it did n't take long for me"
Fear,Neutral,"I've been sitting here staring at the blackboard for what seems like an eternity, trying to think of anything that might be useful. There's so much data, but it all makes me lose my train of thought. 
 
 Then a figure suddenly materializes in front of me. Its gaunt face is covered by dark robes and grotesque horns sprout from beneath its chiseled jaw"
Fear,Sadness,"I can not bear to look at the file that my mother has been working on. She keeps me so busy trying to find a way out of this hell she calls home. Every time she looks through it, something awful happens in her head. The doctors are useless and there is nothing they can do to help her. They've tried everything; everything under the sun; but the worst part is that"
Fear,Sadness,"`` I'm sorry, sir, but the human race is at its end.'' 
 
 “ Wait. How do you know? ” 
 
 The man paused for a moment and took deep breaths. He cleared his throat and continued speaking, almost whispering it to me. 
 
 “ Humans are slowly becoming extinct. We need help, now. Our governments"
Fear,Joy,"The night I was born. The first thing I saw, the most beautiful thing I had ever seen. Mother's face staring at me with such love and caring eyes that it felt like she would never leave me alone again. Her smile when looking at me reminded me of her, in a way. 
 
 She told me about how she met my father and him telling her that his name"
Fear,Anticipation,"I can see her. The firelight is still blinding me as she steps into my field of view. She has dark brown hair, long legs and a pair of bright red lips that are smiling at me. As I look up to meet her eyes, I realize what I am seeing is n't real but the fear in my chest tells me otherwise. 
 
 `` Hey.'' Her voice"
Fear,Neutral,"`` Hello?'' I answered the phone, trying to be calm. My mind racing through possibilities in an attempt to find a reason for what was happening. 
 
 `` Is anyone there?'' The ringing stopped as my eyes darted around frantically searching the room for someone who might not be dead yet. I would have screamed if they were n't calling. `` Hello? Anyone there?"
Fear,Surprise,"The world was dark. No one knew what had happened, or why, but everyone seemed to be dead. 
 
 There were no windows that we could see outside, and all of the lights in this house were either on, or not working. I've never seen anything like it before. People laying around, some still dressed in clothing from the last time they left. A man holding"
Fear,Fear,"`` You look frightened.'' 
 
 `` I am... yes, but do n't be afraid. It's just the flu. Have a seat.'' 
 
 The man on the couch looks nervous and almost shakes with fear. He stares at me for a long moment before finally sitting down across from me on the other side of the recliner. 
 
 `` So..."
Fear,Surprise,"My heart is racing, my palms sweat as I frantically scan the room. Nothing. Just a chair, a small table and a lamp. A timer... or should I call it clock? I do n't know. All that matters now is getting this damned deed done before they show up again. 
 
 I pick up the phone in my sweaty palm, dialing *907-"
Fear,Anger,"It was the middle of winter, a cold wind blowing through the trees. The snow had started falling and so they were going to have to cross it anyways. 
 
 This place is hell. I can never remember where exactly in this vast forest there are houses that make sense or people that actually pay attention to what's going on around them. There is nothing but an endless maze of paths"
Fear,Neutral,"The man in the suit looked at me. 
 
 `` You're not going to kill anyone are you?'' He asked. 
 
 I nodded my head, and he got down on one knee. I did n't know why but as soon as his cold metal fingers reached out towards my heart it started beating a little. It's a small procedure that takes place inside the"
Fear,Trust,"I had never been afraid before. 
 
 Ever since the day I was born, my parents assured me that everything would go smoothly in the world of high school and beyond. That I could have a loving relationship with anyone I chose to spend the rest of my life with. My teachers were always encouraging; they would talk about how you had to show your worth in all areas of your life"
Surprise,Joy,"I was never good with people, and even less good at hiding my feelings. 
 
 It's a strange thing being happy all the time in your life. Sure, there are days when it feels like you've been working towards happiness for years - but there is always another day coming up that will be just as blissful. At least mine were n't the *worst* of them"
Surprise,Trust,"I opened the door, and saw her. She was naked, and she looked amazing in her tight white pleated dress with a little lace trim. 
 `` Hi,'' said Ren, staring hard at me from across the bed. `` How are you feeling?'' 
 `` Oh God! It's so beautiful.'' I replied. 
 `` What color is it?'' asked Ren,"
Surprise,Neutral,"`` Is this why you called me sir?'' 
 
 `` Yes, it is.'' The old man replied as he turned around. A large crowd had gathered outside the gates of Heaven. No one knew what would happen next; all that was known is that angels were not supposed to be in Heaven and therefore God's wrath would be felt upon the people at this very moment."
Surprise,Neutral,"`` Well you have no idea what it's like to be a kid. I remember when it was n't cool to drink Pepsi or use the bathroom at school.'' 
 
 I rubbed my eyes, I had a headache from sitting in the car for so long and remembering things seemed almost impossible. 
 
 `` Yeah I remember too. When we were kids we did whatever we wanted"
Surprise,Neutral,"I ca n't believe that you, this me-thing you call a man-thing, are actually going to live your entire life like this. In a time where there were no such things as `` gods'' or `` goddesses,'' we lived our lives in what amounted to a *game*. You see, after being born as one of the other species, which included humans and various non-"
Surprise,Joy,"When he wakes up again, he will be happy. He'll remember the days when they used to play together as a family and laugh at their silly pranks like hiding in the cupboard under the stairs for no reason why, or him going into his room one night only to find them all staring at him and telling him that it's time he went outside, laughing along with him."
Surprise,Neutral,"`` Aaaaarrrrrgggghhh!!'' I screamed as a wave of acid washed over me and filled my body. 
 
 I woke up in the hospital, with tubes connected to my arms and legs, and surrounded by doctors and nurses. They said that they had successfully removed most of the facial hair but it was still growing back on my face. There were tubes attached"
Surprise,Neutral,"The first thing that struck me about this place was the lack of any real history. 
 
 I walked into what appeared to be a normal home, with a nice view from up front. It looked like every other house on the block - except there were no windows, and everything was in shambles. 
 
 `` Hello?'' I called out over the din of rushing"
Surprise,Sadness,"`` So what are you going to do now?'' I asked. 
 
 `` You know, I've always been really sorry for this.'' She replied. I blinked in disbelief at her words and rubbed my head as she explained the situation to me. 
 
 `` Well... it started out pretty innocuous when we were kids. We'd sit and play all day until your mom"
Surprise,Joy,"It ’ s funny how things work. The way you can tell something is different depending on when it happened and the circumstances surrounding that event. I remember vividly the day in question though, I was at my grandmothers house with my dad who had been gone for some time. My grandma always made me come over to her place to play and watch movies but this was a special night for both of"
Surprise,Trust,"`` It's just a phone call, is n't it?'' 
 
 I do n't know how to respond. I take my hands off the table and put them in my pockets. This has become an uncomfortable habit now that I've developed more social graces with other people. As much as I dislike people who constantly ask me questions about themselves, I've come to accept that"
Surprise,Surprise,"I did n't notice anything until about a week ago, when suddenly it happened. 
 
 My head was spinning, and my eyes were wide open in amazement at what I just saw. At first sight everything looked so ordinary, the sky was bright blue and the clouds moving along with me seemed to be perfectly natural too. 
 
 When all of this was over, I"
Surprise,Neutral,"It has been over thirty years since the Great Rift event. The surface of our planet changed drastically, and all manner of creatures began to roam across our once lush continent in search of food. Humans were no exception; we became the new masters of this newly discovered realm and have largely expanded into space, colonizing planets with little concern for ecosystems or local populations. 
 
 
 I first"
Surprise,Surprise,"My name is James. I'm a high school student and I was wondering if there's anything you could do to help me? 
 
 `` Yes,'' said the man in front of me, who had been staring at me for what felt like an eternity. His face was lined with horror as he spoke. `` You know that this procedure can only work on living people.''"
Surprise,Neutral,"I was n't really surprised. It's the kind of thing that happens in games, after all. 
 
 It started with an innocent comment I'd made on one of the chat rooms a while back. One line really stuck out to me though, and it sent this weird spark inside of me that said `` If you want something done right make it yourself''. I then thought about how"
Surprise,Trust,"`` Wow, is that so?'' 
 
 *I'm going to guess this is n't a joke. I know it's hard for you, after all these years, but it was an honor* 
 
 “ Yes, yes it is. It ’ s also rather... interesting. But we can ’ t continue like this, no matter how funny it"
Surprise,Surprise,"They were n't looking for me, they told me. So I guess I did what any normal person would do and got on with my life. Or so I thought... 
 
 But when I woke up in the morning it all felt so strange. Like someone had taken over my mind and soul. Gone were the days of playing Halo 2 or watching Star Trek to escape into another world"
Surprise,Joy,"``... and who are you?'' 
 
 A deep breath. My heart is racing as I speak, a mix of fear and excitement for the answers I'm about to get. 
 
 I look at him. Tall and lanky, he's wearing an oversized sweater that hugs his massive chest more than it should. He has small brown eyes with bright blue irises;"
Surprise,Surprise,"`` It's the funniest thing I've ever seen in my life.'' 
 
 `` The most beautiful thing?'' 
 
 `` Not really, but it IS pretty cool. I was wondering if you'd like to have some fun with me?'' 
 
 `` Sure! Anything for ice-cream.'' 
 
 `` Ok'' he said as he ran"
Surprise,Sadness,"`` Hello?'' I say, raising an eyebrow. 
 `` Hi.'' The man says, smiling nervously at me as he stutters out his reply. My mouth is still dry from my fruit smoothie and it's already starting to get colder here in the city of New York. 
 This was going to be a very awkward first date. 
 *Well, you know what that"
Sadness,Neutral,"I've always been weak. 
 
 I was the daughter of a man that could n't afford to feed me, and my only friend in school was some fat bitch with an attitude that meant she had n't learned self-control and respect from her parents. We were n't poor; we lived comfortably on my father's salary at his job as a crane fitter. His family"
Sadness,Neutral,"There is only so much you can do. I knew he would be okay, no matter what we did, and then his hand reached for my leg. 
 
 `` It's all right,'' I said quietly, drawing a shudder from him as tears welled in his eyes. He looked down at me with pleading eyes, trying to look ashamed but failing to hide the relief on his face"
Sadness,Anger,"You know, I really should n't have let my daughter go to the prom with her. I am not a good person. 
 
 After all, it was one of those nights where you could tell she was lying about being single and I could see it in her eyes. She kept saying how she loved him but when pressed I would say `` no, he's not that great.''"
Sadness,Neutral,"I sat down at my desk, which was occupied by a man in his late twenties. He had been typing furiously for the past hour on one of those old computers that were only meant to support office workers typing back and forth about basic life issues. 
 
 His name was Robert Stromberg. From what he could see from his computer screen, every word coming out of him sent an"
Sadness,Sadness,"`` I'm so sorry, Ma.'' 
 The woman sobbed. She clutched her tiny body, rocking back and forth in the chair and wiping at her eyes with a napkin that clung to her red lips as tears ran down them. It had been 2 days since she'd seen him again. Days she did not want to be remembered by. When he left for work on Monday"
Sadness,Neutral,"The rain beat on the roof of our tent as we stood around waiting for the jeep to come. It always had, I just assumed that they did n't mind people coming in or out during the dry season. We got used to it after a while but I still felt a little weird about it sometimes. 
 
 `` Any luck?'' asked the driver with a blank expression."
Sadness,Neutral,"I can only remember one night. 
 It all started when i was a wee lad, and my dad left to take me out on some adventure with our friends Dad's mates from school. 
 `` Just you wait til you see the lads'' said dad, pointing to the other side of the room. We all ran off into the house together as quickly as we could, leaving the"
Sadness,Neutral,"I looked up from the television set, and caught a glimpse of something through my window. A lone figure walking across what appeared to be rubble strewn fields towards me. 
 
 `` Look out!'' The text read in bold black letters at the top of the screen. My heart began thudding as it registered just how close this person was getting. And for whatever reason she kept going"
Sadness,Neutral,"I sat at the table, sipping my coffee slowly as it warmed me from across the room. The waitress brought in a tray and set it on the table before her. She held up three large glasses of white water with an amber colored hue to them. One for me, one for myself, and the last glass for my mother. It's been weeks since she passed away and every day brings"
Sadness,Neutral,"The rain came down hard and heavy. I could feel my legs giving out from under me. If only the sky was green, I would have floated away forever. 
 
 *I'm drowning*. 
 
 My eyelids fluttered shut as if trying to clear them of any foreign thoughts that might be troubling their release. They felt heavy like lead weights. Why did they weigh"
Sadness,Sadness,"I've been a bad girl all my life. 
 I'd done horrible things with other girls, had been cruel to them as well, but I'd never hurt a boy. If anything it was the opposite: I'd often treated them cruelly and even made up sick jokes about them. But on this day I was different. This time I was truly sorry for what I did."
Sadness,Fear,"The sirens were growing louder and the citizens of Placerville began to panic. They knew that something BIG was going down, they had heard about it on television or from some other source but until then there was no way for them to prepare themselves. 
 `` Where's the town?'' 
 `` A large metropolitan area has been found! And there is no sign of it anywhere.''"
Sadness,Anticipation,"The war, I mean death of the universe was n't supposed to end this way. I wish it had started with an accidental self inflicted gunshot wound on one guy then everyone just died out because that would have been more fun. But hey, now we're all dead and fucked anyway so let's get on with our lives as best we can. 
 
 When I woke up on Monday"
Sadness,Neutral,"I'm just a kid. No, I ca n't be called that, but whatever. I spent my childhood hiding behind the sofa and eating from the food bowl on our granddad's recliner; we had no TV or radio. My mum, a cook, did n't have to cook because she was always cooking for us. We watched movies, played games, danced, ate out of"
Sadness,Joy,"The day was Tuesday, June 17th. I woke up to a chime on my door, something I rarely hear anymore now that the government has outlawed it ’ s ringing. My alarm went off at about 7 AM but luckily I awoke before sunrise so it wasn ’ t any bother. 
 
 So getting out of bed and dressing myself, I began running towards my house for"
Sadness,Neutral,"You want me to tell you the story of my life? 
 
 Yes. 
 
 I was born in a small town outside of Atlanta, and grew up poor. My dad did n't have much money - some vegetables he got from his mother, some cans of beans that he cooked with whatever spare money was around - but he kept them warm at night, so we had"
Sadness,Neutral,"The morning was cold and grey as the town I lived in had been for much of last year. My family and I were out picking up our winter supplies from one of my neighbours, who'd moved away. It's a small town so moving is difficult but we managed. 
 `` Let me get this for ya'' My mother called to me through the drive. I smiled back down at her"
Sadness,Neutral,"`` I'll tell you when to move on,'' the president told me, in his usual gruff tone. He was sitting with a glass of water by my side, but it did n't seem to bother him at all. 
 
 It had been almost two months since I got here and I knew exactly what he meant. 
 
 The genocide started just after I landed."
Sadness,Sadness,"The water is dark, and the air cold. I have been here for hours, searching through these ruins of a world in search of my lost friends. We had traveled hundreds of miles before we found the cave they spoke of. 
 
 `` I'm sorry,'' I said to them. They did n't reply; I assumed from their lack of reaction that they were dead or gone somewhere"
Sadness,Trust,"`` This is it, I've been dreaming about you for years now.'' 
 
 He ran his finger along the smooth surface of her skin as she lay back on her bed. Her beautiful hair flowed down across her face, framing her lovely eyes and dropping just below the crown of her head, perfectly setting the lid of her perfect smile. The room seemed to be illuminated by a single light"
Anger,Neutral,"My mother used to tell me that she `` had to be strong'' when I was small, so I should n't cry. She'd always stop by my room and say her goodbyes in a loud voice before getting into bed. She was never like this now though; there's no hugging or crying anymore. Instead, she hugs on the couch with me watching TV while I keep telling her"
Anger,Neutral,"There is a strange, almost palpable smell in the air as I step through the door. The old wooden doors squeak as they're sprung back into place. A small crowd of people are milling about the small room where this conference has been taking place for weeks now. 
 
 I take a seat at the far end of the large stage set up in front of me, my mind"
Anger,Joy,"You've always been my favorite. You're funny, smart, mysterious and most of all you wear that *old* lady hat with that *unshed smile*. 
 
 I feel sorry for you. My job has taken a toll on your mind as well as mine, but no amount of counseling can make it better. One day you'll be the *lovable loser* everyone loves"
Anger,Neutral,"I awoke with a start, staring at my bed. All of it was gone... except for the sheets and blanket. 
 
 There they were. My mother's wedding dress... she always hated to part from that one. She had spent years looking for something similar, until she found it on sale. After getting used to wearing it every day, she finally felt free."
Anger,Neutral,"I stood in the middle of an empty field. The sun beat down on me, and I took shelter behind a fallen tree. It's hot, and it does n't help that there are no cars around here. The trees here don ’ t support much weight anyway, so the leaves get blown all over the place. 
 
 I look up at the sky. Not like any"
Anger,Neutral,"You know what the world needs right now? More tacos. 
 
 Taco Tuesdays at the El Rey de Taco Bell. I do n't make any money, but this is my way of giving back to a community that has never seen me before. No one knows who you are or where your from. The internet does n't even know you exist! So here's a small contribution"
Anger,Joy,"*Author's Note* 
 
 “ I know this is probably not the most original story, but I really hope you enjoy it. ” The writer had an offer to write for a popular children ’ s book series, and he just couldn ’ t pass up the chance to take part in one of the most unusual stories out there. The opening was a bit cliche"
Anger,Neutral,"He looked at me. I'd never met him before, but the look in his eyes told me everything that was important about what he would become. 
 
 It's not like he had a choice; humanity could have given up all hope of ending this on its own. But they chose to fight and die for something more noble than selfish survival and self-preservation. What can we"
Anger,Neutral,"**My favourite story!** 
 
 A cold wind whipped across the abandoned town, its gentle stench signalling death. 
 
 The clatter of boots could be heard outside, as people attempted to get in and out of their homes for warmth. All was silent except for one lone figure sitting alone on a ledge overlooking the town's only remaining building. A man dressed in r"
Anger,Neutral,"It was an ordinary day, the kind where you go to work and get paid for it. I looked in the mirror as I got ready for my shift. Nothing special really, no implants or anything of that nature. Just a simple pair of tinted glasses, some sunblock on my face and some lip balm under my arm. As usual, things went smoothly until about 3pm, when"
Anger,Trust,"`` We did it! The war is over and our country has freedom again. Thank you, Mr President.'' 
 
 I was n't sure if the man in front of me had a smile on his face or just felt like he could be opening up to someone for the first time since World War II. He looked tired as hell after an intense day at work and it showed. His"
Anger,Fear,"I was walking down the sidewalk when I suddenly felt a sharp pain in my chest, like someone was stabbing me. A scream sliced through the air and echoed off of every building around me. My heart began to pound and beat rapidly as if trying to escape from a dream. I could n't see anything but darkness so I quickly turned around. I could still hear screams though as if they were coming"
Anger,Anticipation,"The first thing I noticed was the smell. Like a barn, and it smelled like that too - sort of rancid, almost, but not quite rancid enough to be revolting. 
 
 It also reminded me of something... 
 
 A radio or maybe a generator? I can think of a few things. Something simple like that. Something else entirely though."
Anger,Neutral,"The water lapped at the surface like a drum, and my hand trembled beneath me. Slowly I reached out for it again; trying to get rid of this overwhelming wave that had engulfed everything in its path. But there was nothing on land but my ruined house, and the broken bottles from last night ’ s escapades with those guys up in the hills above us. Even the deer"
Anger,Sadness,"I ca n't believe what I've done. 
 
 I was so stupid to put myself in that situation, and now it's too late. There is nothing more tragic than ending a life for which there truly was no reason at all. My brother's death was the product of my own choosing, and I can only take his final moments back and make amends. He was just"
