Target,Detected,Text
Surprise,Trust,"The door opened slowly, and I looked out at the empty house. It was beautiful and quiet. My parents were in the living room, reading. 
 
 `` Hey, Dad, did you ever read a book?'' 
 
 `` No,'' I replied. 
 
 `` Oh, hey"
Surprise,Surprise,"The door opened slowly, a light shone out. I was surprised to see the man standing in front of me. I thought he was a waiter, but he was a very handsome man with a long, wavy, black beard and a thick, dark mustache. 
 
 `` Hello, I'm Mr. A"
Surprise,Neutral,"The door opened slowly, the light on the bar barely showing. 
 
 `` Hello?'' 
 The barman approached, his face was almost as ugly as the man who was standing in the doorway. He was wearing a large, black coat, and black trousers. His hair was pulled back in a bun"
Surprise,Neutral,"The door opened slowly, opening with a creak and a squeak, followed by a brief rumbling that shook the walls. A girl dressed in a pink dress, black boots, a pink hoodie, and a pink shirt walked into the room. 
 
 `` Hey, honey, you're here. You"
Sadness,Neutral,"The door opened slowly, and I watched in fascination as the young man, a tall, slender man with black hair and a silver watch face, walked in. He looked almost too young to be a man, but the eyes were wide and his eyes were almost too bright to be from the same place. He sat down at"
Sadness,Neutral,"The door opened slowly, and a young woman walked in. 
 
 She was tall, slim, and wore a short sleeved, black and white dress. Her hair was short, parted on either side, and was tied in a messy ponytail. 
 
 She wore an old man's uniform,"
Sadness,Neutral,"The door opened slowly, as the doors of the small shop were never supposed to open. 
 
 It was a small place. In fact, the only thing in it was a small table, with a single chair, a couple of plates, and a few glasses of water. There was nothing to do. All"
Sadness,Neutral,"The door opened slowly, the cold air of the open window glinting off the cold steel in the air. 
 
 `` Hey man, can we get you to the bus stop?'' 
 
 `` Sure, why not.'' 
 
 As I approached the bus stop, a man was"
Sadness,Sadness,"The door opened slowly, and I stepped out. 
 
 A familiar face greeted me. 
 
 `` Hello there, my name is Jack, and I'm a guy named Michael.'' 
 
 `` Oh, I see. Good to see you too, Jack.'' 
 
 `` Sorry"
Sadness,Surprise,"The door opened slowly, and a man stepped out. 
 
 `` Well, what do you want?'' 
 
 `` Nothing''. 
 
 `` Well, I'd like to know what's been bothering you lately''. 
 
 `` I know, I know, I'll ask you"
Sadness,Neutral,"The door opened slowly, and then closed itself. The cold air was almost unbearable, and the air seemed to ripple through the air. 
 
 I heard the door creak. I opened it slowly, just to see what it would be like to open it. I looked around. The room was empty. There"
Sadness,Neutral,"The door opened slowly, and it was the man who entered. He was balding, and wearing a thick, white coat, black trousers, and a light green tie. His face was a mop of white hair, his eyes were deep and blue, and his lips were a deep, red."
Sadness,Trust,"The door opened slowly, and the girl walked into the room. She looked at her dress. `` Oh, hello, Miss. I'm so glad you're here,'' she said. 
 
 `` Oh, hello, sweetheart. Is everything okay?'' 
 
 `` Yes, everything's fine,''"
Sadness,Neutral,"The door opened slowly, and I could see the girl's face. Her hair was pulled back into a ponytail. She was wearing a purple shirt, with a light blue dress slung over her shoulders, her skirt pulled up in the back, and a black blazer. She wore a brown hat and a pair of"
Anger,Neutral,"The door opened slowly, and as it did so, the dark figure stood in the doorway, wearing a dark cloak and a hood. 
 
 `` What are you doing here?'' 
 
 The man spoke in a hushed tone, as if he were trying to hide something."
Anger,Neutral,"The door opened slowly, a light breeze blowing through the cracks of the door. The man sitting in his chair leaned back in his chair and slowly looked at the large door. He looked at the glass and the blackness of it. 
 
 `` Let me see this, I'll be back in a minute.''"
Anger,Neutral,"The door opened slowly, but it was silent. The door was in a dark, dusty place, and the sound of the door creaking echoed around the house. It was as though the door had been stuck in some sort of lock. 
 
 
 I stared at the door for a moment, then looked"
Anger,Neutral,"The door opened slowly, and the sound of footsteps drew my attention. I turned my head to the side to see a boy dressed in a pink t-shirt and shorts, his short hair pulled back into a ponytail. 
 
 `` Hi, I'm the one who called you today. I'm your father"
Anger,Surprise,"The door opened slowly, and the two people that entered it looked very shocked. `` Hi, you're Mr. and Mrs. James'' said the first. `` And hello, we're James and Emily'' replied the second. The second did a very nice job of putting their hands on their mouths."
Anger,Trust,"The door opened slowly, revealing a tall, handsome, and muscular man. He wore a bright green suit, and was wearing a pair of white gloves. 
 
 `` Hello, I am John, I'm a teacher and I'm here to teach you how to be a good teacher.'' 
 
 ``"
Anger,Surprise,"The door opened slowly, and the small, dark elf stepped inside. 
 
 `` Good morning. I thought you were going to wake up. I did n't know that you were asleep.'' 
 
 `` It was n't a dream.'' 
 
 `` I do n't know what happened"
Anger,Neutral,"The door opened slowly, and she turned around, to see the girl standing on the other side of the door. She was dressed in a black turtleneck sweater, black jeans and a black beanie hat, which was just as good, if not better than her own. The girl was wearing a black skirt, and"
Anger,Sadness,"The door opened slowly, and it was a familiar face. 
 
 `` Hello?'' He said, his voice slightly raspy from the strain. 
 
 I looked at him blankly, and his eyes were as blue as a cloud. 
 
 `` I'm sorry, but I"
Anger,Anger,"The door opened slowly, and a man stepped in. 
 
 `` I'm a physician,'' he said. 
 
 `` What, you do n't do n't like doctors?'' 
 
 `` Yes, I do n't like them,'' I said, ""but I do n't"
Anticipation,Neutral,"The door opened slowly, a hand reaching for the lock. 
 
 `` Who are you?'' 
 
 `` You're the man with the weird look in his eyes, and I'm the man with the weird glasses.'' 
 
 `` Ah, yes, the strange glasses. That is what"
Anticipation,Surprise,"The door opened slowly, and I gasped as the woman stepped in. She was a tall, lean woman with a black-rimmed face and long dark hair that reached down to her knees. I had a hard time believing I was seeing the same person, but she looked exactly like the woman in the picture. Her black"
Anticipation,Joy,"The door opened slowly, revealing the tall man who stood before her. His hair was in a ponytail, a look of pure joy that was not even a hint of sadness. He held his hand out, and she took it. 
 
 
 `` You're a friend of mine, aren't you?"
Anticipation,Neutral,"The door opened slowly, letting the air in. He glanced to his left, then to his right, and then back to his left again. He heard the rustling of a blanket in the corner. He turned around to face the front door. 
 
 `` Good morning.'' 
 
 He opened the"
Anticipation,Sadness,"The door opened slowly, and the room was silent. 
 
 The two guards walked in, and the door slid open, and two tall men stood in the doorway. 
 
 `` This is my father, he's the one responsible for my mother's death. I swear to God he's going to"
Anticipation,Neutral,"The door opened slowly, and I felt my fingers brush against the stone. It was dark, and the door was ajar. 
 
 `` What the fuck was that?'' 
 
 `` I was just trying to get my phone out of my pocket'' I answered. `` How was I supposed to"
Anticipation,Neutral,"The door opened slowly, and a young woman stood before us. She wore a white robe, and her hair was parted in the middle. Her eyes were closed, and she wore a black dress. Her face was covered by a black mask, and she had a hooded eye patch on. Her arms were raised in a"
Anticipation,Anticipation,"The door opened slowly, and I felt like I was in a dream. It was a warm and inviting room. I looked around, and noticed that I was in the midst of a group of people. I was wearing a black tuxedo, a black vest and white pants. 
 
 I walked to the"
Anticipation,Neutral,"The door opened slowly, revealing a man in a suit. He had a long beard, a very large nose and a mouth that was a bit too wide for him. He had a pair of glasses perched on his nose, and a pair of large earrings that were also too big. ``Oh, hello, it's"
Anticipation,Joy,"The door opened slowly, a light from the hallway outside. 
 
 `` We are here.'' `` Yes, sir.'' 
 
 A voice came from behind the door, a gentle, but firm voice. 
 
 `` The last person to be allowed out was me. I am glad to see"
