Target,Detected,Story
Joy,Joy,"Gwen was brushing her teeth the other day, and she looked at Charlotte. `` You love it like that, do n't you?'' 
 
 Charlotte blushed and replied, `` It's wonderful when I smile like this.'' 
 
 A laugh escaped from across the room, `` Yeah! *smile"
Joy,Joy,"Friday. Night. The tube. It is beautiful in the dark. Not bright light but bright enough bright enough bright to let the light from my love burn bright through the curtains and illuminate her beautiful face. She looks beautiful sleeping soundly on my bed. 
 
 I love my love so much, and love my love so deeply."
Joy,Trust,"Personal Demons The victim was wide awake. He had awoken bright and early, light shining through his window blind as he made love to his beautiful wife. She looked beautiful in her black lingerie. Her beautiful emerald eyes reflected the light as she gazed upon him. 
 
 `` Good morning beautiful'' he said sleepily"
Joy,Neutral,"Captain Rick slammed on the brakes. The light was brightening and light polluted the town, light that brightens when light hurts it's light source. He slowed down to a stoplight, his radio crackling excitedly. 
 `` Attention Citizens! It appears that light is brightening from our last light detected! All citizens"
Joy,Joy,"I am not alone. I am surrounded by beautiful women, wonderful people with whom to love and laugh, laugh joyously. There is light shining in the darkness that envelops me; love radiates from every corner of my heart. 
 
 -Laughing- 
 
 Do you ever find yourself happy when"
Joy,Joy,"Five shots. Five shots rang out in the barren desert sand as I stared at my feet. 
 
 My smile faded into a grin, and it was beautiful. 
 
 `` Six,'' she called cheerfully from down the beach. I could n't help but laugh. Hell, if she kept calling me that"
Joy,Joy,"This was the first time she'd ever felt love. She had n't seen love since her mother died, and now here she was in love with a man who looked just like his father - beautiful, bright light bright smile bright eyes bright beautiful smile bright beautiful smile light smile smile light smile smile smile smile light smile smile smile light"
Joy,Neutral,"As Matthew opened his eyes, the bright light of day blinded him. He blinked as he tried to make sense of what was happening to himself and what was around him. The bright light caused bright red splotches on his face and light streaks to appear in different places across his vision; bright light that did n't fade until it"
Joy,Joy,"I saw the car as it sped down the road, past me. The sun beat down hard on my backside as I stared off into the distance and thought about my wonderful smiley face. As happy as that grin was, I knew love would eventually come to take it from me, but not today. Today's bright sun"
Joy,Neutral,"General Bolden made his way to the front of the line. The sun beat down hard on him as he strode through the sun-bleached desert sand, sweat speckling his bright blue uniform and light boots. His smile grew wider as he saw the soldiers lining up behind him in formation. 
 
 `` It"
Trust,Joy,"The brassy ring of the bell tinkled as I opened my eyes. It was n't safe to be out after dark, but with Glynda's help I could at least see what time it was in case I needed help. 
 
 I stretched. `` Good morning, class.'' She said cheerfully."
Trust,Neutral,"The recruiter waited inside the small office with baited breath. He was about to introduce himself when his phone buzzed in his pocket. 
 
 `` Hello?'' a cheerful voice said from outside. 
 
 `` Hi, I'm looking for someone who is...'' 
 
 `` A friend of"
Trust,Trust,"Three men of different species sat around a round table, discussing. 
 
 `` I agree with what you've said, but there is one thing we could do. We could use the extra brains on board the ship to help us select which of our kind is most suitable for this particular job. All those times we went"
Trust,Joy,"As a rule, they are always good at hiding. 
 
 Most of the time I'm safe in my safe house. But sometimes I go out for some fun and get mugged. That's what happened to me today on 14th street between 5th and 6th. My friend Chris was walking down that road when"
Trust,Neutral,"Charon had spent almost exactly half a day in the cave. The sun beat down on him, but he was happy to accept it as a sign that the journey would be safe and uneventful. This being a god's home was n't going to make things any less challenging for them. 
 
 He found himself"
Trust,Trust,"Unforgiving Phineas, in all his booming wisdom, said `` If you believe everything you see, believe nothing.'' 
 
 I could n't help but agree. It's easy to believe what we believe and trust it blindly. The truth hurts! And believe me, truth hurts even more when faith is tested. I believe that the"
Trust,Neutral,"Jesus turned to his father with a look of trust in his eyes. `` Dad, why did you do that?'' 
 
 The man who looked like the devil's son had only just awoken from one of the many drug induced sleep cycles he'd been on for many years and was still wondering exactly what had caused him"
Trust,Neutral,"He stood in front of the camera, arms raised and smiling. 
 
 `` Ready?'' he asked, his voice steady and confident. The trusty stick moved slowly across the floor. 
 
 `` Yes, sir,'' I replied as best I could through my clenched teeth. I felt the adrenaline surge through"
Trust,Neutral,"The man crawled over the border, past the guards and into the waiting van. He was weakly, but he knew his friend would help him. They stood side by side in a blind trust. 
 `` We got ta help her!'' the man muttered under his breath. He glanced at his friend who did n't reply"
Trust,Sadness,"I play the haunting melody of a friend ’ s lullaby. A friend of mine from middle school, my friend who became my best friend and was the first person to accept me as a man. When he died I was heartbroken but she had always been there for me. 
 
 He asked how I managed"
Trust,Surprise,"Gwen was brushing her teeth the other day and wondered why she felt a sudden chill down her spine. It had been months since she'd felt this way, so it must've been something strange. 
 
 She brushed her teeth again as she got up from the kitchen to go help her mother with some paperwork in the f"
Trust,Joy,"Friday. Night. The tube. It is a strange sensation, to be so close to death, and yet still feel safe. To believe that this feeling will help prolong my life. That I can help others, and help change the world for the better. 
 
 As a train pulled into Platform 3 at Finchley station I looked"
Trust,Trust,"Personal Demons The victim was wide awake in the early hours of the morning. She had been working late into the night at a local bank safe deposit box, and it seemed that someone or something had taken her away somewhere safe... 
 
 An excellent idea for a safe-cracking job! This particular safe held some very"
Trust,Neutral,"Captain Rick slammed on the brakes as he prepared to roll into the tight turn. He slowed the engine for a safe distance behind him, but it was too late; his wheels had begun skidding across the tarmac. He could not keep them from colliding with the support support support support support support support support support support support support"
Trust,Trust,"I am not alone. I am surrounded by a support system of like minded individuals that support and help me in all areas of my life. 
 
 The truth is, despite what you believe to be the truth, it's really more of an inner truth that we do n't often accept. We are taught that trust lies"
Trust,Neutral,"Five shots. Five shots rang out in a blur, and I knew then that it was over. 
 
 My friend Jeff had just told me to meet him at the bar. He pulled his friend Ryan into the back seat of their car, so they could have some fun before going home together. `` It's safe here"
Trust,Neutral,"This was the first time she had ever seen him, and it was safe. She closed her eyes tight and let out a breathy sigh as he entered the room. 
 
 `` Are you alright?'' He asked, his tone coming closer to her ear than anything else. Her friend's face went pale for just"
Trust,Neutral,"As Matthew opened his eyes, the steady rain pattered against the windows. Rain that did not come just because it was cold and rainy day outside made its way in through the large window above his head. He squinted at the sky as he gazed upon a bright blue sky filled with stars. 
 
 Matthew looked up"
Trust,Neutral,"I saw the car as it was moving. The driver's side window shattered. My friend, my friend ’ s friend ”, screamed. 
 
 What was she trying to say? She did n't believe what happened. If she believed anything at all, that “ car hit me ” would be"
Trust,Neutral,"General Bolden made his way to the cockpit of the Blackbird, accompanied by a small entourage. He had just finished handing out orders when he noticed one particular plane sitting idly in formation above him. 
 
 `` What's that doing there?'' The general asked, scratching his head as he got closer to the"
Fear,Fear,"The brassy ring of the bell tinkled softly. My blood run cold, my heart shiver and panic takes hold in me. 
 
 “ Hello? Are you nervous? ” I run towards her voice but she does not answer. Her dark eyes hide dark thoughts behind dark dark dark circles under dark dark dark"
Fear,Fear,"The recruiter waited inside the small dark room. She could n't hide her nervousness as she walked into the dark cold room, afraid that someone would see her through the door. 
 `` Hello?'' The cold voice sounded from behind a curtain. 
 `` Yes? What is it today?'' she asked in panic"
Fear,Neutral,"Three men of different species sat at the table in front of him. `` This is a blood feud,'' said one man, holding up his finger and pointing at the bloodied stump on which two others had both died. 
 
 The other three nodded their heads as they all spoke to each other."
Fear,Neutral,"As a rule, they are always afraid to use magic. I have known many wizards and dark magicians who did n't know what harm was coming when it came to dark forces. 
 
 They fear dark because dark is afraid of them. The darkness wants blood from all that comes through the dark portal in the sky above"
Fear,Neutral,"Charon had spent almost exactly half his life searching for the Fountain of Youth. He'd run cold, bloodshot eyes across dark and shapeless rock that stretched from horizon to horizon until it reached into the mists of space like some massive cosmic eye that seemed ready to pierce him to death in a sea of blood."
Fear,Neutral,"Unforgiving Phineas, in all his booming glory, attempted to shoo me away. `` This sh*t is gon na run you out of money!'' 
 
 I did n't run. Nor hide. I stared right into the dark eyes of a giant man. He was shivering cold as he spoke. `` Trust"
Fear,Fear,"Jesus turned to his father with a scared look on his face. The terror in his eyes had been there for quite some time now and he knew that this was not the day to run scared from, but rather run towards it. He took another step forward as blood began leaking from around his right knee. This was n't blood"
Fear,Fear,"He stood in front of the mirror, afraid. It was cold and dark, but he could shiver so much from watching himself in the reflection. 
 
 His terror grew as his cold hand reached out for the bloodied mirror to shiver off its blood red hue; a panic stricken feeling spread throughout his body at"
Fear,Fear,"The man crawled over the border, afraid to see his wife and children. He could n't hide them from their father, afraid of what they would do if he died in cold blood on the other side. 
 
 He shivered as cold water was poured cold upon him. Then the cold reached his heart. His blood"
Fear,Fear,"I play the haunting melody of my terror. 
 The blood and panic run cold as my terror wells up inside me. Adrenaline floods through my body, sending shiver down to my shins. The blood is cold to touch and burns hot on my cold skin. A scream escapes from within me but it's afraid."
Fear,Fear,"Gwen was brushing her teeth the morning I went. 
 
 I run into her room, scared as hell that something horrible is going to happen but scared more because she's scared of me. I panic and scream, afraid she'll shoo me away scared that I shan't come back home safe scared scared scared scared"
Fear,Fear,"Friday. Night. The tube. It is dark, cold and dark. I scream into my phone as blood floods my face and it shatters into a thousand shards of glass. I run towards the door but can not see past my bloodied shard of glass. A cold wind shiver through my shivering body."
Fear,Fear,"Personal Demons The victim was wide awake and alert. His bloodshot eyes reflected the terror in his face. It had been a dark cold night, but nothing compared to the panic that gripped him as he heard it again. 
 
 `` We've got ta hide!'' He rung out. The panic of having to"
Fear,Neutral,"Captain Rick slammed on the brakes. A scream rose up from behind him, as blood sprayed the road ahead of them. He shuddered and spun around, blood spraying once more behind him as he reared back to tackle what was coming at him again. 
 
 `` Hold it!'' scream bloodied men in"
Fear,Fear,"I am not alone. I am afraid. 
 
 My shadow is dark and shiver in the cold cold blood of these cold cold blood beasts, who run scared from me. 
 
 They hide under my bed, hide behind my dresser drawers. The cold blood scream and howl as they run scared"
Fear,Neutral,"Five shots. Five shots rang out in my head as I slowly came to grips with what was happening. My left arm shivered as blood soaked through the glove compartment, but that cold blood made it easier for me to remember everything else. 
 `` What the hell happened?'' I whispered. `` Where am I? Why is"
Fear,Fear,"This was the first time she had ever been afraid of anything. The terror that gripped her whole body at every second as a dark shadow came shambling towards her, bloodied and blood-soaked, blood-soaked, clawed hands grabbing hold of the back of her neck and stomach like they were trying to rip out"
Fear,Neutral,"As Matthew opened his eyes, the terror returned. 
 
 `` Do n't panic,'' he said to himself, as blood pooled from a dark bruise on his forehead and trickled down into his dark shaggy hair. He blinked twice, trying to clear away the blood that had run cold all over his face but"
Fear,Fear,"I saw the car as it came down the driveway. It was dark and cold, but I could see blood splattered on the dark wood of the garage door. 
 
 The scream echoed through the house. I ran in panic to hide under my bed. But the scream did n't stop; blood continued to rain"
Fear,Neutral,"General Bolden made his way to the main command bunker. He needed a run, something cold and dark was all he could shiver in. The cold shiver of blood rushing cold blood cold blood blood cold blood blood blood blood cold blood cold blood blood blood blood cold blood blood blood blood blood blood blood blood bloodblood bloodbloodcold"
Surprise,Neutral,"The brassy ring of the bell jingled as I jinked through the crowds, my stomach already feeling queasy from working all day. My hand brushed up against a passing girl and she giggled in response before continuing on with her merry life jogging down the street. 
 
 As I jogged past,"
Surprise,Neutral,"The recruiter waited inside the small, dim room in which they would start their interview. `` Hello Mr. Thompson,'' she said with a wide smile, her eyes fixated on his desk. 
 
 `` Hi, I'm Raytheon Systems'' he replied as he adjusted the blinds from behind the large window."
Surprise,Neutral,"Three men of different species sat at opposite ends of the wide, open space that separates their home planet from the rest of the Milky Way. The three were chatting as they walked through the empty expanse of lush green grassland in search of a deer carcass. 
 
 One of the men jotted down what appeared"
Surprise,Neutral,"As a rule, they are always amazed by the sudden appearance of a man. I am one of those rare cases. 
 
 When I first saw him startle my little boy, he was covered in dust and wearing an oversized white T-shirt with the sleeves ripped wide open revealing his jacked to reveal huge jugs"
Surprise,Neutral,"Charon had spent almost exactly half of his last day floating in the water, with no sign of land to support him. He knew that if he floated any farther than this point, it was all over. Even though he could swim faster now, there were only so many times you could start a new adventure before time began to slow"
Surprise,Neutral,"Unforgiving Phineas, in all his booming wisdom and jaded wit, declared that `` joculars are more fun.'' 
 
 *joculars? * I think joculars is better. Thes joculars were joculars. What a load of joculars. Anyway joculars jus like j"
Surprise,Neutral,"Jesus turned to his father with sudden fear in his eyes. `` Father,'' he said, `` do you know who they are?'' 
 
 His father shook his head and said nothing. Instead, he held out a hand to the boy's shoulder. 
 
 The child grasped it instinctively; he had never"
Surprise,Neutral,"He stood in front of the church, and began to speak. 
 
 `` Hello! I am James! Are you a boy or a girl?'' 
 
 A gasp went up from the people around him, as they heard what he had said. Many were stunned, but some just gave silent thanks as"
Surprise,Neutral,"The man crawled over the border, his hands shaking as he made his way across the desert. He was nervous; this could be a dangerous job. There were no helicopters in sight either. He had only one chance to make it across alive and that was now. 
 
 `` This is it.'' He yelled into the radio"
Surprise,Neutral,"I play the haunting melody of a jaunty old tune. It drifts across my pillow like drifting clouds; and it floats on a cloud of dreaminess, leaving behind a faint yellow haze that is only intensified by the sudden startle of a fan in the room. 
 
 The man in front of me smiles"
Surprise,Neutral,"Gwen was brushing her teeth the morning she found herself in this very bathroom, but not before going through the ritual of giving thanks to whatever gods or supernatural forces decided to bless the spot. 
 
 She thought about all the times they'd made things better for one another over the years; from when she'd first dragged him"
Surprise,Neutral,"Friday. Night. The tube. It is almost exactly 8am and I have just woken up, it was a long day today with going to work, errands etc. 
 `` Morning!'' said the voice from nowhere. 
 `` What's going on? Are you in class?'' I ask as I make my way"
Surprise,Surprise,"Personal Demons The victim was wide awake and alert, aware of everything around her. She had been asleep for some time now - a good thing, as the previous night had left her in shock after waking up to find herself under an unexpected spell cast by... 
 
 Spelloam, that is to say *unexpected"
Surprise,Surprise,"Captain Rick slammed on the brakes and swerved to avoid a large oak in front of him. It was n't wide enough for two cars, but there were at least eight or nine other vehicles jostling around trying to get out of its way. 
 
 `` I-I do n't know what's going"
Surprise,Sadness,"I am not alone. I am not even the only one here. 
 The world is being swallowed up by the ocean, never to be seen again. It was a small gesture from an insignificant person, but it cost us everything now. Earths life support systems were failing and we had little time left. This was our last"
Surprise,Neutral,"Five shots. Five shots rang out in the dark of night, and they were all aimed at me. 
 
 *Sierra* 
 
 *Blink blink blink blink blink blink blink blink* 
 
 *Sierra blink blink blink blink blink blink blink blink blink blink blink blink blink blink blink blink"
Surprise,Neutral,"This was the first time she ever met him. At least that's what he told her; years of schooling had prepared her for this eventuality, but the shock and shock of sudden intimacy only served to heighten it. 
 
 `` Wait... why?'' She stuttered out slowly as shock began to set in"
Surprise,Neutral,"As Matthew opened his eyes, the shock was sudden and unexpected. He blinked a few times to clear out any foreign objects in his vision, but those were not the start of the shock. 
 
 `` What is happening?'' he asked slowly as he got up from where he had been laying on the cold ground. The"
Surprise,Surprise,"I saw the car as it was speeding away down the highway. 
 
 It ’ s an old beat up red hatchback, looks cheap and beaten. Well, that doesn ’ t make it any less impressive or exciting. It had to be fast though, right? The speed limit is probably 55 miles per"
Surprise,Neutral,"General Bolden made his way to the briefing room, flanked by Generals Jones and Johnson. 
 
 `` As you may have heard, our enemy is planning a major attack on Earth this year.'' He paused for dramatic effect as he spoke. `` They're launching from their space port in Kwamjel-Gile"
Sadness,Sadness,"The brassy ring of the bell jangled as a sad little mouse attempted to crawl out. The clicking noise echoed through empty hallways and dark alleys, adding a dark groan to my already sad mood. I reached for it anyway, grabbing onto the dark fabric that hid its feeble movements underneath dark black cloths."
Sadness,Neutral,"The recruiter waited inside the small conference room, alone with his dark suit and dark tie. 
 
 `` I know it's hard to get a job at this time of year,'' he began. `` But, if you'll excuse me, I have something to say.'' 
 
 He stood up abruptly from his"
Sadness,Neutral,"Three men of different species sat alone at the gates. 
 
 `` Evening, Citizens,'' said one man to his fellow. He placed a hand on each shoulder and bowed before them in respect. 
 
 `` My name is Alexander Jerkyb.'' 
 
 The other three nodded their heads. ``"
Sadness,Sadness,"As a rule, they are always alone. The sad thing is that it's the same way for every person I meet. We go to bars and socials together, we go to work out on the job and play video games in our spare time, but there's only one of us. 
 
 Alone time hurt when"
Sadness,Neutral,"Charon had spent almost exactly half of his life searching for it. He found the dark blue pearl and brought it back to the surface, hoping that someone else would find it as well. A week passed in which no one did. 
 
 Finally a fisherman spotted it on its way down from the deeps. They brought"
Sadness,Sadness,"Unforgiving Phineas, in all his booming glory, had once again broken the record for destroying a moving train. 
 
 The sad little boy did n't cry over loss like he usually did. Instead sobbed as tears of pain poured down from his broken broken face. But that was exactly what hurt him more than anything."
Sadness,Sadness,"Jesus turned to his father with sad eyes. He was alone in a dark room, but he could see that dark spot on the wall behind him. 
 
 `` Tell me something,'' Father asked, sobbing into his hands. His head hurt too much to tear it off and cry anymore. Even so, pain had"
Sadness,Sadness,"He stood in front of the empty room, alone. The empty room was dark, empty. He did n't see anyone come and go as he sat alone at his desk. He wondered if anyone noticed him empty. If they were sad for him. Or sad that he alone felt empty in this broken world."
Sadness,Neutral,"The man crawled over the border, alone and broken. He had no family to turn to in pain or grief. No one who would cry with him as he sobbed on his broken body. 
 
 It was dark when they found him. They brought him back to their village and placed him in a dark tent. There"
Sadness,Sadness,"I play the haunting melody of broken hearts broken by loss, griefs loss and pain as I weep dark dark griefs tears alone in empty dark halls sobbing alone hurt alone sad alone broken alone griefs cry alone dark dark griefs griefs alone cry alone sad alone broken alone pain alone hurt alone sad alone empty dark halls sob"
Sadness,Sadness,"Gwen was brushing her teeth the day of the big game. The game in question? `` Butterbuzzs.'' It was a nickname she heard from her best friend, whose parents were constantly arguing over who gets to keep their babys' favorite toy. 
 
 `` Okay, sorry,'' she said apologetically as she"
Sadness,Sadness,"Friday. Night. The tube. It is dark and empty, save for the sad man in front of me sobbing into his empty plastic baggies; he looks pathetic. His tear-soaked face betrays pain, grief, and loss that I do not fully understand but feel sorry for him. He furtively reaches out to"
Sadness,Sadness,"Personal Demons The victim was wide awake at this time. It had been a dark and stormy night, dark rain falling continuously from the skies. 
 
 His eyes were open but they hurt to look into them. He could feel his mind slipping away from him as he drifted off. Then a pain shot through his chest"
Sadness,Sadness,"Captain Rick slammed on the brakes. The engine roared to life and the dark metal of his ship shook violently against his broken knuckles, as he slowed down and prepared for impact with the dark matter ship. 
 `` Oh sorry miss... sorry about that,'' a sobbing voice said from behind him, dark matter hands wrapping around"
Sadness,Sadness,"I am not alone. I am a sad little girl who has never had friends, or anybody to cry with or hold her hand when she hurt herself in the dark places. 
 
 It hurt so good sometimes, how sweet and light-hearted you were; how calm and composed you seemed to be; how sad that sad"
Sadness,Neutral,"Five shots. Five shots rang out in the dark empty alley, each echoing through empty dark alleys and empty empty buildings that stretched on dark into night like broken broken moonbeams. 
 
 `` What were you expecting? You should have seen this coming.'' He sighed to himself as he saw dark figures walking briskly down"
Sadness,Sadness,"This was the first time she'd ever felt pain. She had always been so sad, empty inside. When she heard her cry echoing in empty halls and empty days at home. The pain she experienced alone hurt too much to cry out for help; alone alone alone alone hurt. 
 
 So she sobbed alone on"
Sadness,Sadness,"As Matthew opened his eyes, the pain in his broken arm was replaced with pain in his broken soul. The dark red pain spread across the dark grey skin of his broken body and it hurt like a thousand broken broken broken brokens brokens ringing his broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken"
Sadness,Sadness,"I saw the car as it hurtled through the air, slamming into a dark wall on its way to hurtling hurtling hurtling past a broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken broken. I screamed and fell onto my knees"
Sadness,Sadness,"General Bolden made his way to the broken and empty cryogenic pods. He was alone, alone in this dark place of pain and suffering. But he had no time to weep for griefs alone. 
 
 All around him soldiers were engaged in a bloody battle. Deaths continued to pile up as they fell back from their"
Anger,Neutral,"The brassy ring of the bell tinkled in my hand. It was n't long before I slipped it on over my pager and slid my phone into my pocket. The pager buzzed as it always did after a run, and I turned to glance at the clock. 6:03 AM? 
 
 I"
Anger,Neutral,"The recruiter waited inside the small tent with an anxious look on his face. 
 
 `` You're sick, young'n', he said to Sam pf his dirty blonde hair and blue eyes. He was just getting over a cold from the day before. Sam shook her head, trying not to show it. She"
Anger,Neutral,"Three men of different species sat at a table, staring into each other's eyes. `` Are you ready to begin,'' the first man said, as he placed his gloved hand on my throat, `` or will we have to resort to violence?'' 
 
 I smiled and nodded, pouting slightly. `` Oh"
Anger,Disgust,"As a rule, they are always in the back of my mind. I hate when that happens though because it makes me sick to my stomach and I hate having dirty thoughts about them floating through my head. But this time was different; It felt like we were walking towards something big and powerful. Something vile yet beautiful, something vile yet"
Anger,Disgust,"Charon had spent almost exactly half of his last breath trying to reach the pearly gates that flanked Olympus. The foul smell emanating from within the sickly blue liquid assaulted every pore on his foully rotten body, making him weak and sickly. He forced himself up onto his knees, coughing so violently he nearly dropped his sick"
Anger,Anger,"Unforgiving Phineas, in all his booming pomp and circumstance, attempted to pry open the door. The pail of water which he was holding tipped over as it hit the puddle below. 
 
 `` You dirty dog!'' I roared at him. It was then that I noticed something about this sickly pale monster."
Anger,Neutral,"Jesus turned to his father with a sickly smile, and patted him on the shoulder. `` You know that you ca n't talk about my dirty little secrets.'' 
 
 Father looked at him strangely for a moment. Then he nodded slowly, smiling indulgently. He was always so stern. It did n't"
Anger,Trust,"He stood in front of the church, waiting for his turn. His skin was a sickly yellow, but he looked almost as beautiful as ever. The smell of incense filled the air and filled him with an ugly pungent smell that reminded him too much of rotten eggs; eggs foul beyond description."
Anger,Disgust,"The man crawled over the border, like a sickly child. His rotten teeth showered down the dirty grass as he made his way through puddles of water and mud in search of the ugly smell of death that permeated the air here. I hate to say it, but there was something sickly about him; sickly"
Anger,Disgust,"I play the haunting melody of old-fashions, of foul smells, and the pungent smell of rotten eggs. My tongue feels like it's on fire, but my ears are deaf. The smell is repulsive yet somehow arousing; sickly sweet pungent rotten egg smell mixed with foul rotten smell and"
Anger,Neutral,"Gwen was brushing her teeth the way she always did, when suddenly a foul smell hit her nose and she turned around. 
 
 `` Shit'' she said to herself as she approached her dirty puke-smeared bedroom. 
 
 On the bed, lying on her puke-smeared pillow"
Anger,Disgust,"Friday. Night. The tube. It is the most foul smell in London, but I hate it all so much that I do not even bother going out on a normal night. There are many pungent scents at this time of day, from rotten eggs to dirty socks and other such vile things. However, there is one smell that"
Anger,Neutral,"Personal Demons The victim was wide awake, but she did n't care. She had done this before and knew what to expect. She patted down the dirty kitchen trash for repulsive fingerprints in hopes of catching a glimpse of her reflection. A sickly smell filled the air as she pawed through trash cans with an ugly p"
Anger,Disgust,"Captain Rick slammed on the brakes and swerved to avoid another trash truck, squawking a warning as it veered off his path. The smell of rotten eggs filled my nose and sickly smell began overwhelming me. A foul smell persisted in the air as I approached my destination at the edge of town."
Anger,Anger,"I am not alone. I am sick of humanity, sick of hate. We are vile creatures on this planet and it is time for something new... 
 
 -- -- - 
 
 `` It's been an eternity since the last one.'' The foul smell of rotten flesh penetrated my nostrils as he spoke. His"
Anger,Disgust,"Five shots. Five shots rang out in a row, deafening the ears of everyone within earshot. The smell pungently puffed up from nowhere and burned into your nostrils as it dissipated like smoke that has been repurposed to repel enemies for a day. 
 
 `` Shit.'' Vile"
Anger,Disgust,"This was the first time she'd ever tasted hate. Her skin became sickly pale, her eyes began to water and her legs started shaking as if someone had just kicked them hard enough. 
 
 `` It's ugly, it hurts like a motherfucker,'' she said. She patted her stomach and winced"
Anger,Fear,"As Matthew opened his eyes, the smell of rotten flesh and rotten eggs filled the air. He tried to rub them away but there was no such thing as a magic cure for gross smell, it just made things worse. 
 
 `` What the hell?'' he muttered under his breath. He looked around in terror, p"
Anger,Disgust,"I saw the car as it came through the intersection. Then, in a sickly blur of white light and puffs of smoke it disappeared into thin air behind a trashcan. 
 
 The smell of burned flesh was repulsive at first - foul rotten apple smell mixed with rotten eggs, rotten vegetables... gross smell all"
Anger,Neutral,"General Bolden made his way to the back of the tent and sat down. 
 
 `` Firsts, eh?'' he asked piteously as he reached for a small object on his desk. 
 
 `` Yes, sir.'' Sergeant Johnson replied with a tired breath. 
 
 `` Seconds"
Anger,Anger,"The brassy ring of the bell jingled as I hit it, my fist clenching like mad. It was stupid. Why did we have to pick a fight? 
 
 `` You've been hit three times already!'' She hit me square in the nose with her fist. Fuck you stupid stupid stupid fight."
Anger,Neutral,"The recruiter waited inside the small booth for me to speak. He was tall and well-groomed with a neatly trimmed beard. His suit fit him well, not too tight or baggy, but just right - more on the practical side of things this time around. 
 
 `` Good day sir,'' he began"
Anger,Neutral,"Three men of different species sat at a table. The three had all come from vastly disparate backgrounds and circumstances, yet they were united in their rage toward humanity ’ s destruction and exploitation of nature ” s resources. 
 
 “ We have come together today to fight back against the madman that is your greedy"
Anger,Trust,"As a rule, they are always looking for trouble. They hate us. 
 
 What do we fight back against? Nothing but words of love and support. So here's to you, Johnny and Erica! We fight with you every day, in your fights and ours. Together we'll burn down the hate-"
Anger,Neutral,"Charon had spent almost exactly half his life trying to kill me. 
 
 In his rage, he hitches a fistful of my hair and tosses it over the side of the boat he's using as a ramp, so that my hair is right on top of him. This way I do n't hit him"
Anger,Anger,"Unforgiving Phineas, in all his booming wisdom, warned me that a fight could be dangerous. But I did n't listen to him then or now. 
 
 At first, he was cool and collected. When the fight was over and we both were left alone, he gave me his word of warning. It was stupid,"
Anger,Anger,"Jesus turned to his father with a furious rage on his face. `` Why have you abandoned me?'' 
 
 The angry priest looked at the furious man and spat in disgust, then returned his attention back onto his son. His eyes met with his own furious burn as he continued, `` You stupid son of mine!"
Anger,Neutral,"He stood in front of the church, arms raised. `` Praise be to Yahweh for you've hit me with your holy rage and saved my soul!'' he screamed as blood spurted from his mouth onto the ground. 
 
 Aang had been hit by lightning before, but never hit so hard that"
Anger,Neutral,"The man crawled over the border, through the smog and into the city. He hitched a lift on a lorry with three other men to get to his hotel room. Smell of cheap Mexican beer filled his nostrils as he sat down at his desk in an office building. The phone was still ringing, it had been"
